direction,entry_time,exit_time,entry,stop,target,exit,rr_target,r,outcome,zone_source,bars_held
long,2024-02-02 13:00:00+00:00,2024-02-16 17:00:00+00:00,147.96299743652344,145.86182826843262,154.2665049407959,150.22300720214844,3.0,1.0755962917914443,time,fvg,240
long,2024-02-19 17:00:00+00:00,2024-02-20 14:00:00+00:00,150.1820068359375,149.84302649841308,150.88499450683594,149.84302649841308,2.07383022871584,-1.0,stop,fvg,21
long,2024-02-26 08:00:00+00:00,2024-02-27 08:00:00+00:00,150.58399963378906,150.2579367858887,151.56218817749019,150.2579367858887,3.0,-1.0,stop,fvg,24
short,2024-03-13 00:00:00+00:00,2024-03-14 15:00:00+00:00,147.36900329589844,148.2156418395996,144.8290876647949,148.2156418395996,3.0,-1.0,stop,fvg,39
short,2024-03-18 11:00:00+00:00,2024-03-19 01:00:00+00:00,149.0279998779297,149.3598678314209,148.2030029296875,149.3598678314209,2.485919292788942,-1.0,stop,fvg,14
long,2024-03-21 14:00:00+00:00,2024-04-04 18:00:00+00:00,151.50399780273438,150.22895088500977,155.3291385559082,151.1999969482422,3.0,-0.2384232691881595,time,fvg,240
long,2024-04-12 18:00:00+00:00,2024-04-24 17:00:00+00:00,153.21299743652344,152.55747983703614,155.17955023498533,155.17955023498533,3.0,3.0,target,fvg,187
long,2024-04-30 00:00:00+00:00,2024-05-01 20:00:00+00:00,156.81500244140625,154.45610211181642,163.89170343017574,154.45610211181642,3.0,-1.0,stop,fvg,44
short,2024-05-06 12:00:00+00:00,2024-05-06 23:00:00+00:00,153.51600646972656,154.03580588378907,151.85299682617188,154.03580588378907,3.199329584766935,-1.0,stop,fvg,11
long,2024-05-16 11:00:00+00:00,2024-05-30 15:00:00+00:00,154.875,154.875,158.8101739746094,156.63600158691406,3.0,1.195757298368326,time,fvg,240
short,2024-06-06 00:00:00+00:00,2024-06-07 12:00:00+00:00,155.64700317382812,156.51629761047363,153.0391198638916,156.51629761047363,3.0,-1.0,stop,fvg,36
long,2024-07-01 00:00:00+00:00,2024-07-11 12:00:00+00:00,160.98500061035156,160.22594400634765,163.2621704223633,160.22594400634765,3.0,-1.0,stop,fvg,202
short,2024-07-22 05:00:00+00:00,2024-07-24 05:00:00+00:00,157.03500366210938,157.03500366210938,154.45929891357426,154.45929891357426,3.0,2.0008341566559626,target,fvg,48
short,2024-07-29 00:00:00+00:00,2024-07-30 06:00:00+00:00,153.65899658203125,154.76895419311523,150.3291237487793,154.76895419311523,3.0,-1.0,stop,fvg,30
long,2024-08-01 11:00:00+00:00,2024-08-02 12:00:00+00:00,150.52000427246094,148.47629550476074,154.73800659179688,148.47629550476074,2.0638959845939766,-1.0,stop,fvg,25
long,2024-08-05 16:00:00+00:00,2024-08-15 20:00:00+00:00,144.17999267578125,144.17999267578125,149.3260040283203,149.3260040283203,2.0361461085834325,1.6669822154085558,target,fvg,194
long,2024-09-09 07:00:00+00:00,2024-09-11 01:00:00+00:00,143.15699768066406,141.7366463897705,146.2469940185547,141.7366463897705,2.175515562735655,-1.0,stop,fvg,42
long,2024-09-11 12:00:00+00:00,2024-09-13 04:00:00+00:00,142.29200744628906,140.67585395202636,145.54600524902344,140.67585395202636,2.0134212587393265,-1.0,stop,fvg,40
long,2024-09-16 13:00:00+00:00,2024-09-18 18:00:00+00:00,140.4550018310547,140.4550018310547,142.49099731445312,140.4550018310547,2.2351225350387325,0.5263964753492415,be_stop,fvg,53
short,2024-09-19 18:00:00+00:00,2024-09-20 10:00:00+00:00,142.6580047607422,143.97278904418945,139.7480010986328,143.97278904418945,2.213293616865849,-1.0,stop,fvg,16
short,2024-09-23 07:00:00+00:00,2024-09-24 07:00:00+00:00,143.6649932861328,144.52389411621093,141.90699768066406,144.52389411621093,2.046796957116537,-1.0,stop,fvg,24
long,2024-10-04 12:00:00+00:00,2024-10-18 15:00:00+00:00,148.64199829101562,145.88282016296387,156.9195326751709,149.5800018310547,3.0,0.3399575875521245,time,fvg,240
short,2024-10-23 18:00:00+00:00,2024-10-28 00:00:00+00:00,152.66299438476562,153.2176338592529,150.96200561523438,153.2176338592529,3.066836833248576,-1.0,stop,fvg,51
long,2024-11-01 09:00:00+00:00,2024-11-04 01:00:00+00:00,152.7760009765625,151.7476442779541,155.86107107238772,151.7476442779541,3.0,-1.0,stop,fvg,13
long,2024-11-19 17:00:00+00:00,2024-11-26 12:00:00+00:00,154.7209930419922,153.24134877319335,159.1599258483887,153.24134877319335,3.0,-1.0,stop,fvg,113
long,2024-11-28 07:00:00+00:00,2024-11-29 01:00:00+00:00,151.75100708007812,150.41891532592774,154.48500061035156,150.41891532592774,2.052406316423148,-1.0,stop,fvg,18
short,2024-12-05 05:00:00+00:00,2024-12-09 17:00:00+00:00,149.93099975585938,151.2612490081787,145.94025199890137,151.2612490081787,3.0,-1.0,stop,fvg,59
short,2024-12-11 00:00:00+00:00,2024-12-11 09:00:00+00:00,151.72799682617188,152.21143595581054,150.177001953125,152.21143595581054,3.208252658832391,-1.0,stop,fvg,9
long,2024-12-18 00:00:00+00:00,2024-12-19 03:00:00+00:00,153.6840057373047,153.6840057373047,155.3629196105957,155.3629196105957,3.0,2.015508143796275,target,fvg,27
short,2024-12-26 22:00:00+00:00,2024-12-30 14:00:00+00:00,157.86399841308594,158.11561643371581,157.3040008544922,157.3040008544922,2.2255860577549433,2.2255860577549433,target,bpr,38
long,2024-12-31 13:00:00+00:00,2025-01-13 10:00:00+00:00,157.01499938964844,157.01499938964844,160.11158325805664,157.01499938964844,3.0,0.5134678747480402,be_stop,fvg,189
short,2025-01-23 16:00:00+00:00,2025-01-24 11:00:00+00:00,156.00599670410156,156.00599670410156,153.67691497192382,156.00599670410156,3.0,0.5178011853670091,be_stop,fvg,19
short,2025-02-18 10:00:00+00:00,2025-02-19 02:00:00+00:00,151.76300048828125,152.25143724060058,150.29769023132326,152.25143724060058,3.0,-1.0,stop,fvg,16
short,2025-03-03 07:00:00+00:00,2025-03-03 11:00:00+00:00,150.16799926757812,151.0202034942627,147.61138658752444,151.0202034942627,3.0,-1.0,stop,fvg,4
