direction,entry_time,exit_time,entry,stop,target,exit,rr_target,r,outcome,zone_source,bars_held
short,2024-03-18 16:00:00+00:00,2024-03-20 18:00:00+00:00,1.0876659154891968,1.0910876006126404,1.0774008601188658,1.0910876006126404,3.0,-1.0,stop,fvg,50
long,2024-04-08 14:00:00+01:00,2024-04-10 13:00:00+01:00,1.0854227542877197,1.079347943353653,1.1036471870899198,1.079347943353653,3.0,-1.0,stop,fvg,47
long,2024-04-16 12:00:00+01:00,2024-04-25 13:00:00+01:00,1.0646226406097412,1.0603457306861879,1.0736525058746338,1.0736525058746338,2.1113059256086437,2.1113059256086437,target,fvg,168
short,2024-05-06 20:00:00+01:00,2024-05-13 12:00:00+01:00,1.0770059823989868,1.079546668124199,1.071811318397522,1.079546668124199,2.044591328205724,-1.0,stop,fvg,111
long,2024-05-17 15:00:00+01:00,2024-05-22 12:00:00+01:00,1.087902545928955,1.0836766396284103,1.1005802648305893,1.0836766396284103,3.0,-1.0,stop,fvg,68
long,2024-05-24 08:00:00+01:00,2024-05-28 02:00:00+01:00,1.0828369855880737,1.0805144113302232,1.0876659154891968,1.0876659154891968,2.079128314111278,2.079128314111278,target,fvg,41
long,2024-06-10 19:00:00+01:00,2024-06-11 12:00:00+01:00,1.0765421390533447,1.073437775373459,1.0848339796066284,1.073437775373459,2.6710274337408935,-1.0,stop,fvg,17
long,2024-06-12 10:00:00+01:00,2024-06-14 07:00:00+01:00,1.0756157636642456,1.072056535220146,1.0884946584701538,1.072056535220146,3.6184513043153657,-1.0,stop,fvg,45
short,2024-06-18 11:00:00+01:00,2024-06-18 14:00:00+01:00,1.0720411539077759,1.0745595039367675,1.064486103820801,1.0745595039367675,3.0,-1.0,stop,fvg,3
short,2024-06-19 07:00:00+01:00,2024-07-01 07:00:00+01:00,1.073306918144226,1.076641552877426,1.0633030139446262,1.076641552877426,3.0,-1.0,stop,bpr,190
short,2024-07-09 08:00:00+01:00,2024-07-11 09:00:00+01:00,1.0820168256759644,1.0850509464025497,1.0756157636642456,1.0850509464025497,2.1096925892340996,-1.0,stop,fvg,49
long,2024-07-24 13:00:00+01:00,2024-07-29 12:00:00+01:00,1.086130142211914,1.082737696671486,1.0940918922424316,1.082737696671486,2.3469057750924742,-1.0,stop,fvg,70
long,2024-08-02 05:00:00+01:00,2024-08-02 13:00:00+01:00,1.0800302028656006,1.0779514474630356,1.0851871967315674,1.0851871967315674,2.480808400836193,2.480808400836193,target,fvg,8
