direction,entry_time,exit_time,entry,stop,target,exit,rr_target,r,outcome,zone_source,bars_held
long,2024-06-28 09:00:00+00:00,2024-07-01 14:00:00+00:00,1.2649421691894531,1.2649421691894531,1.2712780237197876,1.2649421691894531,2.170521057778768,0.5715744929287783,be_stop,bpr,28
short,2024-07-01 14:00:00+00:00,2024-07-03 08:00:00+00:00,1.2648301124572754,1.2699017662525176,1.2496151510715487,1.2699017662525176,3.0,-1.0,stop,fvg,42
long,2024-07-10 03:00:00+00:00,2024-07-10 15:00:00+00:00,1.279312252998352,1.279312252998352,1.2846039533615112,1.2846039533615112,3.093619347025909,2.1649760084559553,target,fvg,12
short,2024-07-14 23:00:00+00:00,2024-07-15 13:00:00+00:00,1.296764612197876,1.2993491304159164,1.2908055782318115,1.2993491304159164,2.3056652974892304,-1.0,stop,fvg,14
short,2024-07-18 06:00:00+00:00,2024-07-25 12:00:00+00:00,1.2993594408035278,1.2993594408035278,1.2870343923568726,1.2870343923568726,2.305625542122471,1.6576241202925575,target,bpr,125
long,2024-07-26 10:00:00+00:00,2024-07-29 07:00:00+00:00,1.2873657941818237,1.284776219367981,1.2928582429885864,1.284776219367981,2.120984795419905,-1.0,stop,fvg,20
long,2024-08-02 12:00:00+00:00,2024-08-06 09:00:00+00:00,1.2802950143814087,1.270603758597374,1.309368781733513,1.270603758597374,3.0,-1.0,stop,fvg,44
long,2024-08-15 05:00:00+00:00,2024-08-15 12:00:00+00:00,1.2843400239944458,1.281877033352852,1.2917289959192273,1.281877033352852,3.0,-1.0,stop,fvg,7
short,2024-08-21 01:00:00+00:00,2024-08-21 14:00:00+00:00,1.302643060684204,1.305437412571907,1.2940963506698608,1.305437412571907,3.0585661211655677,-1.0,stop,fvg,13
short,2024-08-22 02:00:00+00:00,2024-08-22 08:00:00+00:00,1.3085066080093384,1.312013000535965,1.3012869358062744,1.312013000535965,2.0590028492930648,-1.0,stop,fvg,6
short,2024-08-28 11:00:00+00:00,2024-09-06 12:00:00+00:00,1.3208295106887817,1.3208295106887817,1.3085408210754395,1.3208295106887817,2.0202151090007536,0.7999824499875371,be_stop,fvg,168
long,2024-09-10 06:00:00+00:00,2024-09-10 13:00:00+00:00,1.3101180791854858,1.3056480941534043,1.3193135261535645,1.3056480941534043,2.0571538611610563,-1.0,stop,fvg,7
short,2024-09-11 12:00:00+00:00,2024-09-12 19:00:00+00:00,1.3063528537750244,1.3113421949386597,1.2913848302841187,1.3113421949386597,3.0,-1.0,stop,fvg,31
long,2024-09-18 06:00:00+00:00,2024-09-18 18:00:00+00:00,1.318252444267273,1.318252444267273,1.32933672773838,1.32933672773838,3.0,2.096988381876287,target,fvg,12
long,2024-09-23 12:00:00+00:00,2024-10-01 16:00:00+00:00,1.3327646255493164,1.3246946438074112,1.356974570775032,1.3246946438074112,3.0,-1.0,stop,fvg,147
long,2024-10-04 07:00:00+00:00,2024-10-04 12:00:00+00:00,1.316326379776001,1.3091870676517487,1.33249831199646,1.3091870676517487,2.265194732910327,-1.0,stop,fvg,5
long,2024-10-17 11:00:00+00:00,2024-10-21 08:00:00+00:00,1.301608681678772,1.301608681678772,1.3102381229400635,1.301608681678772,2.000915651994874,0.5005675171614634,be_stop,fvg,44
long,2024-10-22 20:00:00+00:00,2024-10-23 14:00:00+00:00,1.298566460609436,1.2945578882455826,1.3067283630371094,1.2945578882455826,2.0361120336187004,-1.0,stop,bpr,18
long,2024-10-24 06:00:00+00:00,2024-10-28 05:00:00+00:00,1.2940963506698608,1.2940963506698608,1.3015241622924805,1.2940963506698608,2.185294328903609,0.6550727419034427,be_stop,fvg,45
short,2024-11-25 15:00:00+00:00,2024-11-26 12:00:00+00:00,1.2548468112945557,1.2615567586183547,1.2347169693231586,1.2615567586183547,3.0,-1.0,stop,fvg,21
long,2024-12-03 08:00:00+00:00,2024-12-13 15:00:00+00:00,1.2689712047576904,1.2616568645954132,1.2909142252445223,1.2616568645954132,3.0,-1.0,stop,fvg,198
short,2024-12-17 04:00:00+00:00,2024-12-17 07:00:00+00:00,1.2679413557052612,1.2701113780975342,1.263008952140808,1.2701113780975342,2.2729735794508623,-1.0,stop,fvg,3
short,2024-12-30 08:00:00+00:00,2024-12-30 10:00:00+00:00,1.2564393281936646,1.259539095568657,1.2502187490463257,1.259539095568657,2.006789024726127,-1.0,stop,fvg,2
